trade_id,entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,pnl_gross,pnl_net,pnl_r,session,spread_cost,slippage_cost,total_cost,mae,mfe,holding_bars,exit_reason,confidence
145,2026-02-23 19:00:00-05:00,2026-02-23 20:00:00-05:00,short,5240.1001,5238.1001,5247.6001,5237.1001,2.0,-2.0,-0.2667,new_york,3.0,1.0,4.0,0.0,43.5,1,tp,0.0855
146,2026-02-24 20:00:00-05:00,2026-02-24 22:00:00-05:00,short,5192.1001,5200.6001,5199.6001,5189.1001,-8.5,-12.5,-1.6667,new_york,3.0,1.0,4.0,8.5,0.0,2,sl,0.0683
147,2026-02-24 23:00:00-05:00,2026-02-25 00:00:00-05:00,short,5198.2998,5206.7998,5205.7998,5195.2998,-8.5,-12.5,-1.6667,new_york,3.0,1.0,4.0,22.9004,0.0,1,sl,0.1247
148,2026-02-25 00:00:00-05:00,2026-02-25 01:00:00-05:00,short,5218.2002,5216.2002,5225.7002,5215.2002,2.0,-2.0,-0.2667,asian,3.0,1.0,4.0,0.0,5.0,1,tp,0.2063
149,2026-02-25 01:00:00-05:00,2026-02-25 02:00:00-05:00,short,5210.2002,5208.2002,5217.7002,5207.2002,2.0,-2.0,-0.2667,asian,3.0,1.0,4.0,0.0,6.4004,1,tp,0.5338
150,2026-02-25 02:00:00-05:00,2026-02-25 04:00:00-05:00,short,5200.7998,5209.2998,5208.2998,5197.7998,-8.5,-12.5,-1.6667,asian,3.0,1.0,4.0,12.1001,0.0,3,sl,0.2596
151,2026-02-25 04:00:00-05:00,2026-02-25 05:00:00-05:00,short,5209.8999,5207.8999,5217.3999,5206.8999,2.0,-2.0,-0.2667,asian,3.0,1.0,4.0,0.0,16.1997,1,tp,0.0439
152,2026-02-25 11:00:00-05:00,2026-02-25 14:00:00-05:00,short,5228.7002,5226.7002,5236.2002,5225.7002,2.0,-2.0,-0.2667,london,3.0,1.0,4.0,0.0,4.3003,5,tp,0.131
153,2026-02-25 14:00:00-05:00,2026-02-25 15:00:00-05:00,short,5221.3999,5219.3999,5228.8999,5218.3999,2.0,-2.0,-0.2667,overlap,3.0,1.0,4.0,0.0,51.5,1,tp,0.3776
154,2026-02-26 00:00:00-05:00,2026-02-26 02:00:00-05:00,short,5211.3999,5209.3999,5218.8999,5208.3999,2.0,-2.0,-0.2667,asian,3.0,1.0,4.0,0.0,8.7998,3,tp,0.4242
